Treinamento,"Pesos Iniciais (w0, w1, w2, w3)","Pesos Finais (w0, w1, w2, w3)",Número de Épocas
T1,[0.13001279 0.12430105 0.27234735 0.35444535],[-2.16647067  2.57691718  1.30076315  0.10664601],1000
T2,[0.72438946 0.04985355 0.9817589  0.92075612],[-2.13167722  2.40024988  1.35415187  0.22694272],1000
T3,[0.57051284 0.04976297 0.19527338 0.02825894],[-2.08960918  2.52527261  1.22872673  0.08199387],1000
T4,[0.54018448 0.70086001 0.86552671 0.5753326 ],[-2.27720147  2.70649624  1.41599859  0.04284922],1000
T5,[0.40510129 0.17694994 0.88658526 0.92817821],[-2.1905589   2.491488    1.38600771  0.19457365],1000
